Timestamp,1.,2.,3.,4.,5.,6.,7.,8.,9.,10.
12/14/2019 15:42:35,Rammstein - Rammstein,Gloryhammer - Legends from Beyond the Galactic Terrorvortex,Shadow of Intent - Melancholy,Tool - Fear Inoculum,Fleshgod Apocalypse - Veleno,Týr - Hel,Insomnium - Heart Like A Grave,Lindemann - F & M,Amon Amarth - Berserker,Baroness - Gold and Grey
12/14/2019 15:54:49,As I lay dying - Shaped by Fire,Leprous - Pitfalls,Equipoise - Demiurgus,Ashbringer - Absolution,In Mourning - Garden of Storms,Jinjer - Macro,Insomnium - Heart like a Grave,Beast in Black - From Hell with Love,Unprocessed - Artificial Void,Alcest - Spiritual Instinct
12/14/2019 16:40:17,Hanging Garden - Into That Good Night,Insomnium - Heart Like A Grave, Swallow the Sun - When A Shadow Is Forced Into The Light,Sabaton - The Great War,Asylum Pyre - N°4,Rotting Christ - The Heretics,Infected Rain - Endorphin,Frozen Crown - Crowned in Frost,Myrath - Shehili,Gloryhammer - Legends from Beyond the Galactic Terrorvortex
12/14/2019 17:31:06,Hath - Of Rot and Ruin,Fit For An Autopsy - The Sea of Tragic Beasts ,The Number Twelve Looks Like You - Wild Gods ,The Odious - Vesica Piscis ,Orphalis - The Approaching Darkness ,Moon Tooth - Crux,Blood Incantation - Hidden History of the Human Race ,Parliament Owls - A Span Is All That We Can Boast,Car Bomb - Mordial,Vitriol - To Bathe From The Throat Of Cowardice 
12/14/2019 19:08:20,Orpheus Omega - Wear Your Sins,Insomnium - Heart Like A Grave,Allegaeon - Apoptosis,Andy Gillion - Neverafter,Eye of the Enemy - Titan,Borknagar - True North,Amon Amarth - Berserker,Eluveitie - Ategnatos,Opeth - In Cauda Venenum,Slipknot - We Are Not Your Kind
12/14/2019 19:28:04,Rammstein - Rammstein,Opeth - In Cauda Venenum,Soen - Lotus,Wilderun - Veil of Imagination,The Omnific - The Mind's Eye,Myrath - Shehili,Lindemann - F & M ,Druids - Monument,Tool - Fear Inoculum,Suldusk - Lunar Falls
12/14/2019 19:37:44,Bent Knee - You Know What They Mean,Alcest - Spiritual Instinct,Julia Kent - Temporal,White Ward - Love Exchange Failure,Lemolo - Swansea,Kayo Dot - Blasphemy,District 97 - Screens,Cult of Luna - A Dawn to Fear,Tool - Fear Inoculum,Opeth - In Cauda Venenum
12/14/2019 20:28:15,Alcest - Spiritual Instinct,Leprous - Pitfalls,Jinjer - Macro,Saor - Forgotten Paths,Borknagar - True North,Insomnium - Heart Like A Grave,Ethereal Darkness - Smoke And Shadows, Mgła - Age of Excuse,Rotting Christ - The Heretics,Swallow The Sun - When A Shadow Is Forced Into The Light
12/14/2019 21:34:39,Rotting Christ - The Heretics,Mgła - Age Of Excuse,Nightland - Umbra Astra Luna,Lindsay Schoolcraft - Martyr,Infant Annihilator - The Battle of Yaldabaoth,Batushka - Hospodi,Amon Amarth - Berserker,Dream Theater - Distance over Time,"Volbeat - Rewind, Replay, Rebound",Insomnium - Heart Like a Grave
12/15/2019 2:28:11,Fleshgod Apocalypse - Veleno,Insomnium - Heart Like a Grave,Aephanemer - Prokopton,Mgła - Age of Excuse,Dawn Ray’d - Behold Sedition Plainsong,Necronautical - Apotheosis,Finsterforst - Zerfall,Allegaeon - Apoptosis,Sonata Arctica - Talviyö,Mayhem - Daemon
12/15/2019 4:51:54,Rammstein - Rammstein,Northlane - Alien,Slipknot - We are not your kind,Sabaton - The Great War,Korn - The nothing,Fever 333 - Strength in Numbers,Dartagnan - In Jener Nacht,Frank Carter and the Rattlesnakes - The end of suffering,The Hu - The Gereg,The Beautiful Monument - I'm the Reaper
12/15/2019 8:28:10,Periphery - Periphery IV: Hail Stan,Hellrune - Seventh Within,Wilderun - Veil of Imagination,Blood Incantation - History of the Human Race,Cattle Decapitation - Death Atlas,Insomnium - Heart Like a Grave,Leprous - Pitfalls,Jinjer - Macro,Soen - Lotus,Devin Townsend - Empath
12/15/2019 9:10:10,Tool - Fear Inoculum,Alcest - Spiritual Instinct, Blood Incantation - Hidden History of the Human Race,Tomb Mold - Planetary Clairvoyance,Rotting Christ - The Heretics,Cult of Luna - A Dawn to Fear,Opeth - In Cauda Venenum, Baroness - Green and Gold,Dream Theater - Distance Over Time,Slipknot - We Are Not Your Kind
12/15/2019 15:22:12,Equipoise - Demiurgus,White Ward - Love Exchange Failure,Warforged - I: Voice,Opeth - In Cauda Venenum,Blood Incantation - Hidden History pf the Human Race,Hath - Of Rot and Ruin,Disillusion - The Liberation,Obsequiae - The Palms of Sorrowed Kings,Allegaeon - Apoptosis,Devin Townsend - Empath
12/15/2019 17:50:31,Wilderun - Veil of Imagination,Insomnium - Heart Like a Grave,Bent Knee - You Know What They Mean,Whitechapel - The Valley,Swallow the Sun - When a Shadow is Forced into the Light,Soen - Lotus,Dream Theater - Distance Over Time,Thank You Scientist - Terraformer,Leprous - Pitfalls,Killswitch Engage - Atonement
12/16/2019 4:34:22,Ex Libris - Ann,Scarlet Stories - Necrologies,Magoria - JtR1888 (Rock Opera),Borknagar - True North,Periphery - Periphery IV: Hail Stan,Brymir - Wings of Fire,Mother of Millions - Artifacts,Insomnium - Heart Like a Grave,Iapetus - The Body Cosmic,Wilderun - Veil of Imagination
